date,HUFL,HULL,MUFL,MULL,LUFL,LULL,OT
2016-07-04 13:00:00,91.38,77.29,60.91,43.91,30.06,17.64,22.57
2016-07-04 14:00:00,100.97,77.02,59.16,43.51,29.66,16.91,23.6
2016-07-04 15:00:00,87.97,77.67,58.83,37.73,27.58,17.17,20.87
2016-07-04 16:00:00,84.56,71.52,56.14,41.57,25.72,18.59,17.96
2016-07-04 17:00:00,84.74,70.83,56.01,33.39,27.51,14.18,19.3
2016-07-04 18:00:00,92.17,66.23,47.86,41.5,26.49,15.16,18.21
2016-07-04 19:00:00,80.28,68.43,48.21,36.43,26.14,15.33,20.21
2016-07-04 20:00:00,90.17,76.34,52.28,40.61,30.4,15.18,17.62
2016-07-04 21:00:00,96.38,76.57,56.72,45.05,27.64,16.87,19.56
2016-07-04 22:00:00,99.01,79.31,59.33,42.55,26.58,19.04,20.98
2016-07-04 23:00:00,101.86,81.77,56.9,44.81,26.48,21.35,20.65
2016-07-05 00:00:00,97.46,84.17,57.24,48.64,30.99,18.64,26.28
2016-07-05 01:00:00,108.72,81.78,65.27,46.28,28.07,19.02,28.15
2016-07-05 02:00:00,106.72,92.5,67.89,53.42,35.9,20.64,29.45
2016-07-05 03:00:00,111.04,87.87,65.04,44.27,33.5,19.76,30.52
2016-07-05 04:00:00,114.2,99.89,66.95,51.33,36.05,23.37,29.35
2016-07-05 05:00:00,117.33,91.17,68.69,48.47,36.38,19.62,32.09
2016-07-05 06:00:00,121.23,87.42,72.58,50.49,32.38,24.37,32.5
2016-07-05 07:00:00,120.51,90.87,71.54,44.49,32.05,25.69,31.33
2016-07-05 08:00:00,113.25,83.98,66.39,47.98,33.91,22.06,31.86
2016-07-05 09:00:00,112.88,89.24,71.13,51.07,34.44,24.66,31.8
2016-07-05 10:00:00,106.93,81.98,68.81,48.96,32.87,20.44,33.21
2016-07-05 11:00:00,102.17,87.52,65.97,49.45,33.09,22.12,27.98
2016-07-05 12:00:00,102.03,80.33,64.32,44.43,31.08,18.6,26.2
2016-07-05 13:00:00,94.2,76.98,55.95,46.39,26.48,19.63,23.6
2016-07-05 14:00:00,94.54,67.79,54.86,43.32,28.95,18.3,18.1
2016-07-05 15:00:00,94.15,72.11,54.37,42.06,29.02,16.73,20.33
2016-07-05 16:00:00,85.95,67.96,51.9,44.63,27.59,15.35,19.31
2016-07-05 17:00:00,83.88,70.93,49.28,37.58,28.69,16.08,23.37
2016-07-05 18:00:00,91.15,74.05,49.49,36.88,25.29,15.03,17.8
2016-07-05 19:00:00,87.49,68.62,53.08,43.95,27.63,18.29,19.05
2016-07-05 20:00:00,78.56,72.41,58.06,31.32,27.83,17.29,19.12
2016-07-05 21:00:00,86.52,75.75,59.45,43.63,26.42,16.2,18.05
2016-07-05 22:00:00,94.6,78.52,55.03,41.68,33.74,20.86,24.22
2016-07-05 23:00:00,103.24,72.09,56.24,44.22,27.18,22.63,25.25
2016-07-06 00:00:00,108.77,79.16,66.21,45.67,35.61,20.55,27.44
2016-07-06 01:00:00,108.48,89.99,67.02,48.77,31.31,22.06,25.98
2016-07-06 02:00:00,105.14,87.9,62.03,43.35,32.78,24.28,32.42
2016-07-06 03:00:00,116.95,89.45,72.46,48.22,29.78,18.02,28.36
2016-07-06 04:00:00,108.8,94.95,66.75,52.27,37.62,20.66,33.53
2016-07-06 05:00:00,118.6,95.04,66.97,55.55,34.2,22.39,37.49
2016-07-06 06:00:00,127.28,95.38,72.64,55.75,33.63,25.76,31.38
2016-07-06 07:00:00,113.7,90.7,68.74,49.62,36.42,23.69,31.97
2016-07-06 08:00:00,112.25,94.38,67.83,49.9,34.42,23.78,32.55
2016-07-06 09:00:00,114.28,88.32,69.76,49.26,32.3,19.44,30.16
2016-07-06 10:00:00,114.14,87.34,65.99,51.83,31.73,19.01,26.51
2016-07-06 11:00:00,105.95,85.63,62.4,51.66,26.62,23.27,27.94
2016-07-06 12:00:00,105.68,83.12,50.85,49.54,28.38,19.24,23.74
2016-07-06 13:00:00,96.98,79.81,60.45,46.81,30.9,19.99,24.87
2016-07-06 14:00:00,96.3,70.93,54.11,45.37,29.85,20.21,20.27
2016-07-06 15:00:00,88.54,76.45,51.01,44.68,26.73,21.5,23.66
2016-07-06 16:00:00,81.12,77.95,51.98,39.35,26.92,16.27,17.8
2016-07-06 17:00:00,86.87,66.75,50.06,41.35,24.28,15.82,17.97
2016-07-06 18:00:00,79.86,67.27,55.79,37.15,24.47,17.65,19.99
2016-07-06 19:00:00,85.38,78.61,51.68,40.9,27.97,19.21,16.15
2016-07-06 20:00:00,89.9,70.25,59.14,40.19,25.65,16.37,19.82
2016-07-06 21:00:00,82.48,76.09,47.45,41.43,26.84,22.62,23.17
2016-07-06 22:00:00,85.06,71.69,55.95,42.1,27.08,18.6,18.89
2016-07-06 23:00:00,91.54,79.61,51.57,44.06,28.06,21.51,24.29
2016-07-07 00:00:00,110.84,80.22,65.2,44.88,28.58,23.8,26.55
2016-07-07 01:00:00,108.55,84.67,65.42,48.2,31.54,18.43,29.54
2016-07-07 02:00:00,108.21,90.04,65.16,51.53,33.53,20.05,27.31
2016-07-07 03:00:00,106.07,89.4,65.82,51.08,32.26,21.2,28.69
2016-07-07 04:00:00,120.32,92.53,66.72,51.07,37.17,23.49,33.57
2016-07-07 05:00:00,119.52,90.13,72.8,58.57,33.28,20.84,33.87
2016-07-07 06:00:00,117.94,97.05,69.76,48.67,34.8,24.51,34.03
2016-07-07 07:00:00,114.52,95.57,73.22,52.34,34.81,24.87,33.97
2016-07-07 08:00:00,110.77,88.12,68.03,49.55,32.81,26.57,31.17
2016-07-07 09:00:00,123.53,88.62,67.67,49.5,35.91,25.04,31.8
2016-07-07 10:00:00,100.68,89.45,61.61,54.1,33.65,20.16,30.37
2016-07-07 11:00:00,104.74,83.5,64.94,50.5,29.38,24.76,26.54
2016-07-07 12:00:00,110.09,78.05,61.25,50.96,32.98,19.64,29.76
2016-07-07 13:00:00,102.25,90.43,59.02,42.37,29.7,20.03,25.04
2016-07-07 14:00:00,91.94,77.31,52.77,40.83,29.78,15.3,19.9
2016-07-07 15:00:00,95.97,65.01,49.47,40.09,27.91,20.84,22.04
2016-07-07 16:00:00,89.36,70.17,54.98,38.02,26.9,15.31,17.59
2016-07-07 17:00:00,87.99,69.44,49.92,40.52,26.49,19.76,20.36
2016-07-07 18:00:00,79.03,69.24,49.75,42.43,27.52,18.33,20.85
2016-07-07 19:00:00,84.05,73.5,47.75,34.82,23.62,17.34,17.15
2016-07-07 20:00:00,92.45,59.25,57.21,41.02,23.48,17.91,21.46
2016-07-07 21:00:00,96.92,75.46,57.96,37.48,26.51,16.34,21.55
2016-07-07 22:00:00,103.15,78.1,65.07,41.42,26.82,18.52,23.93
2016-07-07 23:00:00,105.07,76.98,59.07,44.56,29.43,18.23,27.88
2016-07-08 00:00:00,101.72,81.08,61.18,48.79,34.12,18.68,25.71
2016-07-08 01:00:00,104.33,81.61,64.09,45.9,32.25,23.34,26.64
2016-07-08 02:00:00,97.28,89.77,64.32,50.34,31.06,24.25,28.17
2016-07-08 03:00:00,117.58,92.56,69.95,47.97,32.54,23.99,29.87
2016-07-08 04:00:00,111.56,97.98,68.03,52.66,38.7,21.55,32.54
2016-07-08 05:00:00,117.24,97.61,72.75,50.77,33.91,22.79,34.13
2016-07-08 06:00:00,124.64,92.69,70.44,50.68,36.51,23.67,34.26
2016-07-08 07:00:00,111.88,89.52,63.9,49.26,36.54,25.91,35.1
2016-07-08 08:00:00,118.82,94.41,68.62,53.48,35.07,26.57,32.72
2016-07-08 09:00:00,112.52,95.66,70.19,52.41,29.76,24.34,34.41
2016-07-08 10:00:00,109.27,86.03,61.25,48.94,32.92,19.25,29.42
2016-07-08 11:00:00,98.92,86.86,66.15,48.09,34.07,20.96,33.58
2016-07-08 12:00:00,102.13,78.14,56.52,51.53,32.86,17.58,27.45
2016-07-08 13:00:00,99.3,78.3,58.05,43.18,30.2,21.22,22.55
2016-07-08 14:00:00,96.92,75.32,56.23,45.77,29.28,19.01,20.31
2016-07-08 15:00:00,91.62,74.7,53.43,44.18,25.27,17.42,21.86
2016-07-08 16:00:00,92.47,66.88,48.69,40.95,23.31,15.16,19.26
2016-07-08 17:00:00,91.7,69.39,56.37,36.55,26.07,18.26,20.39
2016-07-08 18:00:00,81.55,73.93,53.73,35.13,26.03,18.13,19.65
2016-07-08 19:00:00,84.96,64.29,53.34,46.8,25.48,20.6,18.81
2016-07-08 20:00:00,85.65,72.27,55.72,40.74,26.11,19.21,18.01
2016-07-08 21:00:00,101.25,74.52,53.29,41.15,32.46,18.51,17.87
2016-07-08 22:00:00,91.93,71.22,51.22,44.05,29.66,18.07,21.56
2016-07-08 23:00:00,98.45,74.02,59.27,45.85,28.37,22.97,25.97
2016-07-09 00:00:00,98.56,83.19,63.92,45.87,30.31,17.55,26.8
2016-07-09 01:00:00,113.41,84.49,65.31,49.67,30.59,20.79,25.82
2016-07-09 02:00:00,116.92,83.59,72.26,46.86,30.58,22.18,30.47
2016-07-09 03:00:00,124.39,82.9,67.31,51.77,33.94,23.3,32.45
2016-07-09 04:00:00,112.15,90.05,68.72,47.9,34.49,22.23,31.1
2016-07-09 05:00:00,114.88,94.93,64.6,51.21,39.67,21.14,33.92
2016-07-09 06:00:00,124.17,94.28,68.56,48.14,35.47,26.32,33.99
2016-07-09 07:00:00,115.29,93.33,73.1,52.92,31.89,23.51,31.33
2016-07-09 08:00:00,123.3,92.3,60.94,52.46,34.19,19.35,33.58
2016-07-09 09:00:00,104.96,94.44,65.54,47.62,33.8,21.24,32.8
2016-07-09 10:00:00,110.75,87.25,62.27,47.56,33.82,22.0,32.29
2016-07-09 11:00:00,106.22,92.91,65.9,50.21,31.52,21.63,30.42
2016-07-09 12:00:00,100.59,85.17,61.04,46.77,31.01,20.38,23.62
2016-07-09 13:00:00,113.55,76.29,57.02,46.63,28.33,19.05,22.56
2016-07-09 14:00:00,89.81,78.03,58.39,42.15,29.87,15.2,23.65
2016-07-09 15:00:00,88.6,72.89,51.49,36.61,26.89,19.68,22.1
2016-07-09 16:00:00,96.17,69.48,55.78,42.81,29.23,17.11,20.91
2016-07-09 17:00:00,79.26,70.75,49.64,38.13,25.74,16.84,26.83
2016-07-09 18:00:00,88.45,72.87,51.27,41.29,26.22,19.28,20.01
2016-07-09 19:00:00,87.31,70.15,51.56,39.82,24.77,15.75,21.4
2016-07-09 20:00:00,93.63,67.33,52.62,43.95,26.08,19.47,21.79
2016-07-09 21:00:00,89.18,69.37,50.22,45.79,25.23,19.78,22.37
2016-07-09 22:00:00,90.25,81.33,63.49,38.04,26.27,20.46,21.99
2016-07-09 23:00:00,101.43,82.06,57.32,50.51,29.76,17.2,25.95
2016-07-10 00:00:00,101.82,77.5,66.32,44.25,31.76,19.52,25.0
2016-07-10 01:00:00,103.89,77.78,65.67,51.68,30.1,18.15,28.01
2016-07-10 02:00:00,114.6,81.73,69.7,46.52,30.81,22.46,29.32
2016-07-10 03:00:00,108.5,87.97,68.97,43.19,37.24,22.67,32.01
2016-07-10 04:00:00,109.61,88.64,72.31,53.23,37.44,21.7,37.67
2016-07-10 05:00:00,119.06,95.61,72.32,55.41,33.68,23.13,30.05
2016-07-10 06:00:00,115.04,94.1,72.64,47.27,37.49,21.18,35.42
2016-07-10 07:00:00,116.04,98.88,71.22,53.05,32.76,21.27,30.56
2016-07-10 08:00:00,120.78,90.35,67.85,54.32,32.57,23.6,32.09
2016-07-10 09:00:00,113.91,90.79,66.35,48.74,31.8,23.55,34.02
2016-07-10 10:00:00,107.25,92.19,65.37,46.06,32.55,21.14,30.42
2016-07-10 11:00:00,112.01,83.94,63.04,52.02,32.95,24.56,26.33
2016-07-10 12:00:00,109.38,78.77,64.51,50.81,33.84,22.44,25.11
2016-07-10 13:00:00,104.04,78.0,56.7,43.62,26.28,22.37,25.96
2016-07-10 14:00:00,94.17,81.48,53.35,46.48,27.53,16.39,21.33
2016-07-10 15:00:00,100.62,78.26,55.81,42.09,28.47,18.73,21.67
2016-07-10 16:00:00,86.13,70.27,59.63,49.05,30.0,18.82,20.14
2016-07-10 17:00:00,86.91,67.53,50.65,38.78,30.73,21.18,18.0
2016-07-10 18:00:00,91.82,66.47,55.22,39.52,21.97,18.04,23.33
2016-07-10 19:00:00,84.39,67.49,52.1,38.94,26.36,17.4,20.57
2016-07-10 20:00:00,80.72,78.0,50.8,38.18,26.22,17.65,16.0
2016-07-10 21:00:00,99.77,74.91,56.88,42.82,28.05,18.96,21.61
2016-07-10 22:00:00,85.92,75.31,60.53,55.06,26.11,19.81,21.47
2016-07-10 23:00:00,96.35,87.4,55.15,46.56,26.79,19.05,26.31
2016-07-11 00:00:00,103.25,86.85,58.48,48.36,30.89,21.06,25.13
2016-07-11 01:00:00,112.1,80.54,66.47,46.22,34.21,21.96,28.42
2016-07-11 02:00:00,109.88,86.21,68.68,53.15,32.04,19.75,31.47
2016-07-11 03:00:00,117.5,85.26,64.16,47.42,33.21,19.96,33.75
2016-07-11 04:00:00,106.72,88.42,71.43,47.75,34.07,27.01,30.81
2016-07-11 05:00:00,117.67,95.53,67.57,58.66,34.12,22.96,33.29
2016-07-11 06:00:00,125.01,93.84,70.86,51.53,34.81,24.25,33.26
2016-07-11 07:00:00,120.68,91.59,68.11,50.34,32.4,20.23,32.65
2016-07-11 08:00:00,117.9,96.72,72.12,44.42,34.26,20.91,36.74
2016-07-11 09:00:00,114.75,89.38,69.85,50.56,30.25,20.7,32.83
2016-07-11 10:00:00,110.95,88.93,62.0,44.76,33.22,19.21,27.94
2016-07-11 11:00:00,98.97,83.89,62.58,45.29,30.61,21.32,30.49
2016-07-11 12:00:00,99.83,82.85,60.57,46.87,32.61,22.19,30.96
2016-07-11 13:00:00,105.98,82.82,60.1,43.52,28.92,17.98,26.84
2016-07-11 14:00:00,95.95,79.36,55.04,43.26,27.25,19.43,19.92
2016-07-11 15:00:00,90.07,71.13,53.31,43.64,27.48,17.54,20.44
2016-07-11 16:00:00,91.74,70.52,57.3,38.25,26.59,15.11,22.75
2016-07-11 17:00:00,87.2,64.26,55.26,42.87,28.08,17.67,18.05
2016-07-11 18:00:00,84.03,67.37,57.3,44.68,26.6,16.48,20.1
2016-07-11 19:00:00,95.78,68.2,53.71,44.63,24.84,19.27,21.02
2016-07-11 20:00:00,93.04,72.02,50.94,39.0,27.54,15.07,18.36
2016-07-11 21:00:00,93.47,76.25,58.3,37.93,30.31,21.78,21.29
2016-07-11 22:00:00,97.98,72.42,56.23,43.23,29.15,19.06,16.48
2016-07-11 23:00:00,100.95,79.1,60.18,43.44,29.02,18.59,22.72
2016-07-12 00:00:00,113.35,88.68,63.55,50.48,32.54,20.93,26.38
2016-07-12 01:00:00,100.12,84.88,63.21,44.66,29.13,22.33,26.33
2016-07-12 02:00:00,112.89,84.15,64.14,52.99,31.44,22.41,33.9
2016-07-12 03:00:00,113.42,93.33,65.68,51.02,34.46,23.15,29.33
2016-07-12 04:00:00,117.15,94.59,76.25,59.39,33.56,18.53,32.5
2016-07-12 05:00:00,121.23,95.16,73.76,53.16,35.41,25.72,34.39
2016-07-12 06:00:00,125.11,89.28,68.43,52.19,35.64,23.11,37.26
2016-07-12 07:00:00,120.42,98.4,75.74,54.04,33.58,23.17,31.25
2016-07-12 08:00:00,116.38,95.27,70.84,57.85,33.92,23.93,35.7
2016-07-12 09:00:00,126.14,88.97,68.68,47.91,34.29,21.13,32.21
2016-07-12 10:00:00,116.5,89.41,63.58,52.03,33.55,23.97,28.67
2016-07-12 11:00:00,101.91,87.4,66.53,46.79,29.59,21.26,29.75
2016-07-12 12:00:00,109.91,87.33,60.6,42.66,30.08,19.63,27.28
2016-07-12 13:00:00,102.11,79.3,57.29,48.27,30.06,20.66,23.74
2016-07-12 14:00:00,87.64,67.13,53.07,42.06,29.84,14.38,23.27
2016-07-12 15:00:00,101.12,75.02,59.6,39.61,28.77,18.61,20.81
2016-07-12 16:00:00,94.86,71.5,55.51,44.62,25.74,18.45,20.61
2016-07-12 17:00:00,79.84,74.04,59.05,36.98,26.41,19.43,20.96
2016-07-12 18:00:00,88.92,71.48,51.71,39.22,26.27,17.65,22.55
2016-07-12 19:00:00,83.37,70.97,57.89,39.45,24.12,17.36,17.16
2016-07-12 20:00:00,87.2,67.08,54.51,39.18,25.79,18.27,24.65
2016-07-12 21:00:00,85.49,67.37,57.53,36.47,25.81,14.84,17.67
2016-07-12 22:00:00,93.83,78.54,57.72,50.68,30.86,17.2,22.83
2016-07-12 23:00:00,93.9,90.54,62.74,46.72,29.93,20.34,26.12
2016-07-13 00:00:00,96.69,83.7,62.26,43.93,29.95,23.65,27.61
2016-07-13 01:00:00,107.36,94.47,59.16,46.63,29.1,18.97,27.75
2016-07-13 02:00:00,107.46,90.34,67.35,47.6,28.82,25.07,30.38
2016-07-13 03:00:00,113.28,87.1,69.24,51.5,33.56,23.03,31.37
2016-07-13 04:00:00,111.32,96.51,66.85,50.02,36.22,25.62,32.37
2016-07-13 05:00:00,126.52,98.89,69.77,47.81,38.18,26.25,35.99
2016-07-13 06:00:00,115.74,98.76,70.05,57.14,34.5,27.57,35.27
2016-07-13 07:00:00,122.52,101.86,69.35,53.65,33.43,25.2,32.91
2016-07-13 08:00:00,121.59,103.06,71.29,54.01,33.98,24.3,35.35
2016-07-13 09:00:00,112.81,92.03,68.94,49.83,34.33,21.99,32.97
2016-07-13 10:00:00,109.7,93.38,67.08,50.68,30.36,22.96,32.43
2016-07-13 11:00:00,110.64,84.59,70.64,41.33,33.76,22.82,30.25
2016-07-13 12:00:00,106.81,83.78,63.7,49.25,29.57,21.21,25.39
2016-07-13 13:00:00,99.3,75.6,61.87,43.39,26.87,18.76,23.99
2016-07-13 14:00:00,92.61,81.19,58.01,47.79,27.44,20.86,24.8
2016-07-13 15:00:00,107.69,76.02,58.27,44.48,25.0,19.67,22.97
2016-07-13 16:00:00,92.64,71.65,51.6,43.53,25.18,22.28,20.51
2016-07-13 17:00:00,90.18,66.59,51.82,40.01,31.5,15.95,20.04
2016-07-13 18:00:00,88.52,68.93,54.55,39.08,24.25,17.22,22.11
2016-07-13 19:00:00,88.12,69.12,51.74,44.4,26.04,15.45,18.62
2016-07-13 20:00:00,88.8,72.9,50.25,46.32,28.86,20.88,21.65
2016-07-13 21:00:00,95.46,66.22,60.29,39.81,26.28,18.81,21.34
2016-07-13 22:00:00,103.49,81.29,60.27,42.71,28.12,19.81,22.87
2016-07-13 23:00:00,99.57,83.53,62.21,46.86,24.81,20.09,27.31
2016-07-14 00:00:00,103.89,84.0,59.96,42.8,32.04,19.95,28.87
2016-07-14 01:00:00,111.19,83.75,68.8,51.33,32.87,21.02,30.79
2016-07-14 02:00:00,116.2,90.9,67.43,52.9,36.21,19.66,33.58
2016-07-14 03:00:00,109.79,88.69,64.08,50.83,35.49,22.74,32.56
2016-07-14 04:00:00,114.76,98.23,70.44,53.0,37.32,23.02,35.08
2016-07-14 05:00:00,129.23,93.13,76.91,49.65,36.49,22.28,33.84
2016-07-14 06:00:00,125.04,93.42,72.09,50.82,37.48,22.35,35.37
2016-07-14 07:00:00,127.34,90.94,66.88,55.43,34.27,23.55,34.2
2016-07-14 08:00:00,115.82,88.47,69.78,55.77,37.01,23.73,33.91
2016-07-14 09:00:00,120.61,87.58,67.61,52.21,34.03,22.29,33.71
2016-07-14 10:00:00,105.94,81.0,69.17,50.51,35.16,21.29,29.33
2016-07-14 11:00:00,104.76,86.46,67.11,47.63,33.88,19.43,33.35
2016-07-14 12:00:00,103.63,83.05,65.9,47.4,34.6,17.97,25.21
2016-07-14 13:00:00,101.21,80.94,61.75,42.78,33.31,19.92,22.85
2016-07-14 14:00:00,91.5,77.26,56.78,52.13,30.96,19.27,25.79
2016-07-14 15:00:00,93.27,78.65,58.85,33.8,29.21,18.6,23.5
2016-07-14 16:00:00,84.89,76.46,61.16,43.25,29.41,21.68,21.97
2016-07-14 17:00:00,85.8,64.31,55.5,40.24,24.01,17.61,21.23
2016-07-14 18:00:00,93.08,70.73,50.86,40.1,26.57,13.81,19.69
2016-07-14 19:00:00,89.24,66.36,55.5,36.3,28.79,16.95,18.18
2016-07-14 20:00:00,88.73,74.11,51.83,42.42,25.75,16.95,20.88
2016-07-14 21:00:00,95.86,70.29,52.06,43.28,27.87,18.88,20.56
2016-07-14 22:00:00,98.58,77.56,59.54,44.07,24.84,15.67,25.42
2016-07-14 23:00:00,110.2,80.22,62.74,44.19,29.83,18.98,24.98
2016-07-15 00:00:00,117.1,84.59,60.78,41.95,35.14,20.39,25.74
2016-07-15 01:00:00,112.38,90.11,63.33,50.48,31.15,19.51,28.69
2016-07-15 02:00:00,118.1,88.95,68.44,51.14,34.72,19.1,31.96
